frame,class_id,confidence,x_center,y_center,width,height,kp1_x,kp1_y,kp2_x,kp2_y,kp3_x,kp3_y,kp4_x,kp4_y,kp5_x,kp5_y,kp6_x,kp6_y,conf_kp1,conf_kp2,conf_kp3,conf_kp4,conf_kp5,conf_kp6
28,1,0.9657334685325623,609.513916015625,297.02825927734375,387.94976806640625,366.082275390625,543.3284912109375,269.2181396484375,698.292724609375,322.5467529296875,909.9981689453125,403.66455078125,,,441.958740234375,368.64495849609375,598.9818725585938,467.2744140625,0.56063396,0.6934407,0.82881624,0.05561035,0.7732877,0.79882777
29,1,0.9686346054077148,609.1820068359375,297.067626953125,387.37982177734375,366.1579284667969,543.0429077148438,268.9969177246094,697.541015625,322.0024719238281,908.0313720703125,402.991943359375,,,442.8854675292969,368.5766296386719,602.2008666992188,466.607177734375,0.558022,0.68735385,0.8252552,0.054601308,0.7779997,0.8028761
30,1,0.923743724822998,607.1116943359375,297.0760498046875,388.19293212890625,367.4926452636719,541.5175170898438,270.90374755859375,694.2439575195312,325.0460205078125,907.17578125,405.3205261230469,,,448.6441955566406,369.481201171875,595.941650390625,468.60089111328125,0.543937,0.7045989,0.8288809,0.06424852,0.7379127,0.7731574
31,1,0.9016931056976318,605.3745727539062,297.7330017089844,388.26220703125,367.9827880859375,542.0354614257812,271.53607177734375,693.970947265625,325.83135986328125,906.311279296875,405.85833740234375,,,450.57958984375,369.7100830078125,596.3897094726562,468.96881103515625,0.54149514,0.7067382,0.8279294,0.065727055,0.73246104,0.7690807
32,1,0.8741820454597473,603.7665405273438,297.97601318359375,389.3207702636719,369.4702453613281,541.5216064453125,271.704833984375,692.8076782226562,326.5369567871094,905.4000244140625,406.16455078125,,,452.40252685546875,369.71392822265625,596.25048828125,469.30657958984375,0.53674805,0.70872957,0.82779294,0.067691654,0.7239758,0.76305234
33,1,0.9220708012580872,604.1880493164062,298.0605773925781,389.146240234375,370.01458740234375,540.572509765625,271.2749328613281,692.9948120117188,325.4823913574219,904.4755859375,405.1578674316406,,,450.37457275390625,370.5142822265625,602.0366821289062,468.9410095214844,0.53875256,0.6948376,0.82375526,0.06205334,0.74577534,0.77988845
34,1,0.9226367473602295,604.3907470703125,298.0849609375,388.66241455078125,370.1989440917969,540.569580078125,271.2163391113281,692.9653930664062,325.3892822265625,904.46337890625,405.11065673828125,,,450.39825439453125,370.4190673828125,602.1044921875,468.8580322265625,0.5384772,0.69457966,0.82356554,0.061987687,0.7457671,0.77990335
35,1,0.9196539521217346,603.8441162109375,298.4169616699219,388.69293212890625,370.90692138671875,538.7701416015625,270.12255859375,692.2850952148438,325.2118225097656,905.5330810546875,405.30926513671875,,,447.38427734375,371.3808898925781,600.2124633789062,470.2369384765625,0.53711534,0.6891083,0.8247111,0.060191173,0.7482461,0.78001964
36,1,0.910763680934906,603.6691284179688,297.2170104980469,387.3561096191406,371.1546630859375,,,693.39501953125,324.9361572265625,890.0531005859375,405.01611328125,,,415.330078125,383.33221435546875,575.7195434570312,469.56597900390625,0.49963632,0.6047614,0.6633042,0.107177116,0.5205476,0.5547922
37,1,0.9137870669364929,602.6439208984375,297.0865783691406,386.8627624511719,371.8874816894531,560.7198486328125,270.25482177734375,693.9935302734375,324.71661376953125,891.780029296875,405.2860107421875,,,412.68804931640625,383.87939453125,574.1243896484375,469.8696594238281,0.5022275,0.6048628,0.66197395,0.105892904,0.5240765,0.5585397
38,1,0.9182019829750061,600.30615234375,297.36572265625,386.9594421386719,372.80450439453125,556.7667236328125,270.1573181152344,692.5050048828125,325.26275634765625,892.968994140625,405.6974792480469,,,405.0150146484375,384.96136474609375,568.3561401367188,469.91107177734375,0.5087571,0.604469,0.66192883,0.102464944,0.53102267,0.5625502
39,1,0.9318302273750305,599.7817993164062,299.1186218261719,385.2404479980469,371.1530456542969,541.578125,264.39605712890625,688.9387817382812,319.8428955078125,902.3392944335938,408.37725830078125,,,404.69140625,381.72381591796875,580.3811645507812,475.2703857421875,0.51110756,0.60181016,0.6374866,0.073619306,0.53666925,0.5143446
40,1,0.9318653345108032,599.6207275390625,299.78021240234375,384.56353759765625,370.5050354003906,541.4125366210938,264.4146728515625,688.8377685546875,319.8540954589844,902.3436279296875,408.3601989746094,,,404.6184387207031,381.75213623046875,580.388916015625,475.27838134765625,0.5113296,0.6019699,0.63768137,0.07355634,0.5365273,0.5142098
41,1,0.9353001713752747,597.941162109375,300.0203857421875,385.75360107421875,371.5708312988281,540.951904296875,264.33917236328125,689.072021484375,319.454345703125,904.1324462890625,408.8629150390625,,,402.67449951171875,382.4414367675781,579.4022827148438,476.7877197265625,0.5135102,0.6031802,0.636402,0.07278577,0.5396696,0.5166976
42,1,0.9242384433746338,597.6690673828125,299.11077880859375,387.5224609375,373.9429931640625,556.1580200195312,269.83984375,694.0535888671875,324.56890869140625,897.8089599609375,406.64691162109375,,,396.7544250488281,387.0714416503906,563.7012939453125,471.7149353027344,0.51656896,0.60521674,0.65701497,0.099037305,0.54191023,0.57355756
43,1,0.9244977831840515,597.269775390625,299.0874328613281,388.29754638671875,375.484375,555.2828979492188,270.0856628417969,693.4751586914062,324.9563293457031,898.03515625,406.96630859375,,,395.79473876953125,387.7034912109375,563.5524291992188,472.15057373046875,0.5179553,0.6058824,0.6576082,0.09846297,0.5418146,0.57278854
44,1,0.930624783039093,597.1500244140625,300.390625,387.3492431640625,374.7300720214844,538.3794555664062,266.5694580078125,687.6453247070312,321.1643371582031,904.260009765625,410.14556884765625,,,401.8846435546875,384.3053283691406,581.0142211914062,478.1138916015625,0.5139187,0.604904,0.64201266,0.07173388,0.5314572,0.5068727
45,1,0.9353893399238586,596.8056640625,301.20953369140625,387.5545959472656,375.078857421875,537.5933227539062,266.17816162109375,686.7283325195312,320.31036376953125,904.941162109375,409.96282958984375,,,402.5226745605469,384.6722106933594,582.878173828125,478.8347473144531,0.5140565,0.60672027,0.64283925,0.07154029,0.53225666,0.505375
46,1,0.935494601726532,596.7022705078125,301.5086975097656,387.53094482421875,375.19189453125,537.7799682617188,266.1590881347656,686.8790283203125,320.3415222167969,904.9638671875,410.0179443359375,,,402.50164794921875,384.6443176269531,582.671630859375,478.84844970703125,0.51403177,0.6065185,0.642464,0.071550384,0.53273016,0.5060699
47,1,0.9359934329986572,596.358642578125,301.60980224609375,387.52435302734375,375.2164306640625,536.1558227539062,266.450439453125,686.0419921875,320.325927734375,905.929931640625,410.06939697265625,,,401.57989501953125,385.2701416015625,583.4122314453125,479.64813232421875,0.5155228,0.60835963,0.64482,0.07074777,0.53055555,0.50265545
48,1,0.9383781552314758,595.592041015625,301.9662780761719,388.26171875,375.8692626953125,535.0840454101562,265.8509216308594,685.232421875,319.364990234375,906.7733154296875,409.81561279296875,,,401.89788818359375,385.3311767578125,,,0.51568514,0.61052555,0.64686453,0.070600964,0.5289476,0.49964306
49,1,0.9365717172622681,594.9947509765625,302.0899353027344,388.653076171875,376.1006164550781,534.5868530273438,266.057373046875,685.0545043945312,319.825439453125,906.5253295898438,410.1944274902344,,,401.191650390625,385.39959716796875,,,0.51623964,0.6109069,0.6474314,0.07046231,0.5280996,0.49946675
