epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,893.396,0.41075,0.57291,0.49402,0.45079,0.96526,0.97535,0.99091,0.9885,0.94196,0.97535,0.99091,0.9885,0.89178,0.31318,0.48386,0.58948,0.32903,0.81467,0.00142605,0.00142605,0.00142605
75,902.494,0.43134,0.61436,0.50147,0.43405,0.97071,0.97373,0.99091,0.98792,0.96728,0.97373,0.99091,0.98792,0.89649,0.25496,0.47541,0.5819,0.33122,0.80085,0.00142275,0.00142275,0.00142275
76,917.095,0.42213,0.64065,0.49081,0.43346,0.97504,0.97617,0.99091,0.99249,0.97111,0.96693,0.98182,0.98605,0.90526,0.27098,0.42914,0.58314,0.32354,0.81245,0.00141945,0.00141945,0.00141945
77,926.94,0.44425,0.72352,0.49695,0.41216,0.98678,0.98286,0.99091,0.99263,0.97756,0.98286,0.99091,0.99263,0.91799,0.2709,0.44374,0.58164,0.32498,0.81382,0.00141615,0.00141615,0.00141615
78,935.891,0.39908,0.68877,0.5056,0.4445,0.96844,0.98846,0.99091,0.99197,0.97045,0.98846,0.99091,0.99197,0.90553,0.31637,0.46554,0.58275,0.34815,0.83802,0.00141285,0.00141285,0.00141285
79,945.712,0.42129,0.66286,0.50904,0.41883,0.96415,0.98442,0.99091,0.99309,0.97324,0.97517,0.98182,0.98269,0.8841,0.28267,0.55831,0.59277,0.32481,0.82179,0.00140955,0.00140955,0.00140955
80,958.866,0.40354,0.553,0.47924,0.42162,0.98843,0.9835,0.99091,0.99198,0.97122,0.9835,0.99091,0.99198,0.91737,0.26054,0.43912,0.59618,0.30062,0.80819,0.00140625,0.00140625,0.00140625
81,968.925,0.37588,0.60068,0.5057,0.38363,0.93641,0.98217,0.99091,0.99054,0.94865,0.98217,0.99091,0.99054,0.90391,0.29863,0.50138,0.59319,0.32032,0.82308,0.00140295,0.00140295,0.00140295
82,982.788,0.43016,0.54058,0.47814,0.43315,0.97721,0.9791,0.99941,0.99341,0.98638,0.9791,0.99941,0.99341,0.91148,0.24637,0.47702,0.58775,0.2841,0.79882,0.00139965,0.00139965,0.00139965
83,995.548,0.42483,0.60377,0.47693,0.41282,0.95866,0.98994,0.9917,0.9928,0.96673,0.98994,0.9917,0.9928,0.89605,0.28707,0.47165,0.58591,0.32987,0.8205,0.00139635,0.00139635,0.00139635
84,1009.77,0.41316,0.59242,0.49191,0.42215,0.96784,0.98895,0.99091,0.99294,0.97054,0.98895,0.99091,0.99294,0.88066,0.28729,0.53827,0.58725,0.30539,0.81979,0.00139305,0.00139305,0.00139305
85,1022.46,0.42461,0.73091,0.48703,0.41641,0.95613,0.97965,0.99091,0.98978,0.9801,0.97965,0.99091,0.98978,0.91175,0.23994,0.42616,0.59001,0.37375,0.79731,0.00138974,0.00138974,0.00138974
86,1035.1,0.39391,0.5669,0.48675,0.43469,0.93741,0.95947,0.98205,0.98949,0.97084,0.95947,0.98205,0.98949,0.90607,0.24971,0.45068,0.58948,0.55808,0.80127,0.00138644,0.00138644,0.00138644
87,1048.75,0.37523,0.63513,0.5025,0.37381,0.93868,0.9836,0.99091,0.98982,0.98117,0.9836,0.99091,0.98982,0.9084,0.25056,0.4354,0.58828,0.30329,0.7962,0.00138314,0.00138314,0.00138314
