epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,505.644,0.90444,0.47197,0.97509,0.86654,0.77248,0.78192,0.47909,1.18483,0.59154,1.22655,0.00127621,0.00127621,0.00127621
56,514.943,0.90044,0.4733,0.9708,0.80433,0.77866,0.76807,0.47617,1.22878,0.55137,1.25461,0.00127338,0.00127338,0.00127338
57,523.249,0.88845,0.47288,0.9732,0.8212,0.76952,0.78184,0.47715,1.19966,0.52968,1.26049,0.00127055,0.00127055,0.00127055
58,532.113,0.88848,0.47704,0.97812,0.91938,0.78284,0.79336,0.48328,1.24009,0.53252,1.27627,0.00126772,0.00126772,0.00126772
59,540.729,0.83439,0.45826,0.96969,0.89986,0.75879,0.78721,0.44801,1.25102,0.55732,1.29452,0.00126489,0.00126489,0.00126489
60,549.516,0.87505,0.47682,0.98388,0.87657,0.79306,0.79475,0.46326,1.1656,0.55078,1.20175,0.00126206,0.00126206,0.00126206
61,557.904,0.87571,0.46889,0.97072,0.91677,0.78689,0.7923,0.49418,1.11979,0.53687,1.18452,0.00125923,0.00125923,0.00125923
62,566.572,0.88537,0.46603,0.97683,0.89823,0.76308,0.78343,0.44432,1.18052,0.57571,1.20264,0.00125641,0.00125641,0.00125641
63,575.093,0.87446,0.46186,0.96501,0.87466,0.7677,0.77442,0.46176,1.13086,0.53937,1.18799,0.00125358,0.00125358,0.00125358
64,584.219,0.85802,0.45563,0.95218,0.95467,0.78581,0.81737,0.50507,1.09864,0.51032,1.18597,0.00125075,0.00125075,0.00125075
65,592.721,0.85405,0.44448,0.95151,0.95352,0.78352,0.81765,0.52123,1.15375,0.52656,1.23755,0.00124792,0.00124792,0.00124792
66,602.235,0.82326,0.4428,0.9602,0.92973,0.75798,0.79084,0.47433,1.15925,0.52713,1.21516,0.00124509,0.00124509,0.00124509
67,610.427,0.84642,0.45157,0.96406,0.83166,0.79303,0.7924,0.49783,1.13819,0.53444,1.18873,0.00124226,0.00124226,0.00124226
68,619.237,0.84577,0.46124,0.94443,0.92792,0.82603,0.84759,0.50936,1.18806,0.55587,1.2129,0.00123943,0.00123943,0.00123943
69,627.867,0.8511,0.45196,0.94368,0.7961,0.81081,0.78301,0.46438,1.1574,0.54355,1.20572,0.0012366,0.0012366,0.0012366
70,636.79,0.79681,0.44166,0.94331,0.90483,0.81629,0.81932,0.51648,1.15195,0.49928,1.21883,0.00123377,0.00123377,0.00123377
71,645.376,0.81516,0.43815,0.94335,0.93103,0.8403,0.84409,0.47816,1.17031,0.52297,1.2234,0.00123094,0.00123094,0.00123094
72,654.624,0.78917,0.42462,0.95012,0.95325,0.82922,0.8515,0.49805,1.21747,0.55265,1.2959,0.00122811,0.00122811,0.00122811
73,663.245,0.7907,0.43693,0.93712,0.927,0.81276,0.81906,0.49671,1.19471,0.49044,1.26192,0.00122528,0.00122528,0.00122528
74,672.347,0.81241,0.45199,0.94877,0.89606,0.83859,0.85141,0.49726,1.18621,0.51025,1.27615,0.00122245,0.00122245,0.00122245
75,682.326,0.80764,0.43968,0.94516,0.87646,0.8158,0.81671,0.47631,1.20598,0.54989,1.24171,0.00121962,0.00121962,0.00121962
76,691.492,0.79594,0.4309,0.94711,0.89124,0.80689,0.81225,0.51527,1.09843,0.5345,1.19284,0.00121679,0.00121679,0.00121679
77,700.038,0.82316,0.43992,0.94538,0.81783,0.75918,0.76743,0.46942,1.19806,0.5487,1.23707,0.00121396,0.00121396,0.00121396
78,708.79,0.85506,0.44466,0.96678,0.90102,0.81111,0.81167,0.52001,1.14543,0.5445,1.26068,0.00121113,0.00121113,0.00121113
79,717.408,0.81648,0.436,0.94371,0.81933,0.77984,0.78708,0.52956,1.12065,0.52178,1.19281,0.00120831,0.00120831,0.00120831
80,726.845,0.8111,0.42779,0.93082,0.82226,0.79924,0.77111,0.46671,1.17866,0.51956,1.20455,0.00120548,0.00120548,0.00120548
81,735.154,0.78626,0.42164,0.93382,0.839,0.79924,0.77527,0.50885,1.11915,0.48345,1.19097,0.00120265,0.00120265,0.00120265
82,744.237,0.77899,0.41885,0.92811,0.8768,0.7696,0.78409,0.51668,1.11925,0.47915,1.20899,0.00119982,0.00119982,0.00119982
83,752.916,0.75386,0.41039,0.92778,0.87517,0.79564,0.79953,0.50491,1.12992,0.48445,1.21283,0.00119699,0.00119699,0.00119699
84,761.741,0.76426,0.40169,0.92282,0.89136,0.79081,0.80055,0.50968,1.10197,0.51448,1.17679,0.00119416,0.00119416,0.00119416
85,770.201,0.76964,0.41028,0.93099,0.83291,0.79885,0.79118,0.48619,1.11054,0.51218,1.17964,0.00119133,0.00119133,0.00119133
86,778.851,0.74467,0.39594,0.92388,0.89172,0.78277,0.80602,0.505,1.16803,0.51701,1.22129,0.0011885,0.0011885,0.0011885
87,787.284,0.75953,0.41198,0.91856,0.81264,0.79306,0.78638,0.48878,1.18829,0.51679,1.24597,0.00118567,0.00118567,0.00118567
88,796.054,0.75845,0.40326,0.91396,0.92052,0.84068,0.85609,0.50318,1.18939,0.54144,1.29077,0.00118284,0.00118284,0.00118284
89,804.607,0.74425,0.40488,0.92805,0.92393,0.82446,0.85135,0.50135,1.16404,0.53074,1.25504,0.00118001,0.00118001,0.00118001
90,813.335,0.75659,0.40722,0.93031,0.85549,0.79679,0.78703,0.47109,1.15161,0.52534,1.19995,0.00117718,0.00117718,0.00117718
91,821.972,0.75368,0.40753,0.92431,0.89665,0.78483,0.79485,0.47023,1.16905,0.52022,1.21954,0.00117435,0.00117435,0.00117435
92,830.425,0.78021,0.41272,0.92883,0.92224,0.76557,0.80212,0.47757,1.12652,0.52284,1.21743,0.00117152,0.00117152,0.00117152
93,839.141,0.74492,0.39922,0.91202,0.9388,0.83068,0.86163,0.53404,1.13221,0.47606,1.22355,0.00116869,0.00116869,0.00116869
94,847.933,0.73754,0.41128,0.92445,0.881,0.77866,0.79358,0.45445,1.15504,0.50456,1.2039,0.00116586,0.00116586,0.00116586
95,856.651,0.73739,0.38955,0.91232,0.92982,0.77799,0.80556,0.53799,1.08821,0.49598,1.18543,0.00116303,0.00116303,0.00116303
96,865.315,0.7501,0.41118,0.91645,0.85255,0.80864,0.80735,0.48875,1.1298,0.51341,1.21522,0.00116021,0.00116021,0.00116021
97,873.951,0.71721,0.38894,0.9137,0.95519,0.78996,0.81892,0.5382,1.13409,0.53112,1.2409,0.00115738,0.00115738,0.00115738
98,882.659,0.70013,0.37877,0.90485,0.83531,0.8089,0.82724,0.48562,1.14019,0.51125,1.24513,0.00115455,0.00115455,0.00115455
99,891.413,0.72898,0.39072,0.91695,0.93129,0.83245,0.85388,0.50587,1.17345,0.52394,1.21476,0.00115172,0.00115172,0.00115172
100,899.921,0.73989,0.39618,0.91199,0.85377,0.78895,0.80144,0.48636,1.1419,0.51896,1.18806,0.00114889,0.00114889,0.00114889
101,908.636,0.7096,0.38545,0.90812,0.97471,0.80767,0.84201,0.51617,1.13644,0.50881,1.21766,0.00114606,0.00114606,0.00114606
102,917.284,0.68507,0.37624,0.90514,0.9091,0.764,0.8262,0.50912,1.1384,0.50208,1.23869,0.00114323,0.00114323,0.00114323
103,926.208,0.71526,0.38967,0.90719,0.93847,0.82835,0.86765,0.51678,1.14684,0.49506,1.23928,0.0011404,0.0011404,0.0011404
104,934.739,0.71245,0.38218,0.90548,0.92865,0.80968,0.8452,0.4974,1.14283,0.54281,1.2212,0.00113757,0.00113757,0.00113757
105,943.371,0.72416,0.39403,0.917,0.92694,0.81687,0.8487,0.50407,1.10306,0.53398,1.20912,0.00113474,0.00113474,0.00113474
106,952.375,0.71555,0.39009,0.90309,0.90221,0.80339,0.82767,0.49888,1.15061,0.51703,1.21764,0.00113191,0.00113191,0.00113191
107,962.348,0.69001,0.37761,0.90471,0.8775,0.80112,0.80749,0.51966,1.13334,0.49973,1.21987,0.00112908,0.00112908,0.00112908
108,970.304,0.69337,0.38487,0.90477,0.87115,0.79356,0.81743,0.50334,1.1626,0.52661,1.21551,0.00112625,0.00112625,0.00112625
109,979.651,0.69683,0.38503,0.90396,0.87448,0.84218,0.80191,0.51993,1.12455,0.51779,1.18232,0.00112342,0.00112342,0.00112342
110,987.531,0.7187,0.38658,0.91472,0.85238,0.82305,0.81475,0.48847,1.17735,0.50178,1.23796,0.00112059,0.00112059,0.00112059
111,996.928,0.6963,0.38161,0.89875,0.86544,0.79049,0.7972,0.49661,1.15021,0.50536,1.24015,0.00111776,0.00111776,0.00111776
112,1005.34,0.70553,0.38802,0.90616,0.93739,0.81321,0.8415,0.53009,1.15025,0.51115,1.24819,0.00111493,0.00111493,0.00111493
113,1014.42,0.69309,0.37583,0.90092,0.88612,0.79402,0.78998,0.49978,1.16189,0.50074,1.25431,0.0011121,0.0011121,0.0011121
114,1023.03,0.69591,0.38022,0.90269,0.90312,0.79497,0.80543,0.49688,1.15993,0.51599,1.22809,0.00110928,0.00110928,0.00110928
115,1032.09,0.7144,0.38357,0.91733,0.91253,0.85842,0.86032,0.51641,1.14349,0.49857,1.22393,0.00110645,0.00110645,0.00110645
116,1040.82,0.70063,0.3797,0.89496,0.90187,0.81708,0.81383,0.48048,1.12842,0.50057,1.18896,0.00110362,0.00110362,0.00110362
117,1049.54,0.67413,0.37236,0.90014,0.89543,0.80376,0.81059,0.49421,1.1278,0.48518,1.20378,0.00110079,0.00110079,0.00110079
118,1058.58,0.65664,0.36044,0.89023,0.87095,0.83336,0.8227,0.49348,1.15752,0.49364,1.2516,0.00109796,0.00109796,0.00109796
119,1067.05,0.66746,0.36809,0.89177,0.84221,0.79369,0.80857,0.50588,1.14038,0.49948,1.26154,0.00109513,0.00109513,0.00109513
120,1075.98,0.69382,0.38316,0.90485,0.88253,0.80772,0.8202,0.47917,1.12334,0.48987,1.24658,0.0010923,0.0010923,0.0010923
121,1084.43,0.67785,0.37548,0.89221,0.91415,0.81348,0.82818,0.49638,1.1167,0.49831,1.23429,0.00108947,0.00108947,0.00108947
122,1093.21,0.65431,0.36575,0.90131,0.88006,0.7914,0.80458,0.48414,1.1261,0.51735,1.2211,0.00108664,0.00108664,0.00108664
123,1101.99,0.68927,0.38186,0.90063,0.95774,0.77131,0.79074,0.47229,1.12964,0.53377,1.22678,0.00108381,0.00108381,0.00108381
124,1110.69,0.67246,0.36369,0.89455,0.9171,0.78895,0.82202,0.48869,1.13049,0.52749,1.2247,0.00108098,0.00108098,0.00108098
125,1119.38,0.68072,0.36508,0.89542,0.837,0.79512,0.78392,0.50362,1.1248,0.51143,1.22317,0.00107815,0.00107815,0.00107815
126,1127.9,0.67081,0.3644,0.89753,0.85158,0.76925,0.78416,0.49646,1.12657,0.49609,1.26383,0.00107532,0.00107532,0.00107532
127,1136.58,0.66731,0.36499,0.89221,0.83747,0.79512,0.77896,0.48177,1.13853,0.49144,1.24688,0.00107249,0.00107249,0.00107249
128,1145.42,0.67632,0.36479,0.89395,0.88629,0.79101,0.7894,0.50485,1.108,0.49049,1.22792,0.00106966,0.00106966,0.00106966
129,1153.94,0.61885,0.33867,0.88354,0.9206,0.79708,0.78962,0.47304,1.15667,0.49281,1.24676,0.00106683,0.00106683,0.00106683
130,1162.99,0.64206,0.35009,0.88622,0.98227,0.79889,0.82163,0.49656,1.14703,0.48511,1.23553,0.001064,0.001064,0.001064
131,1171.27,0.65648,0.36093,0.88739,0.92422,0.84036,0.85188,0.51371,1.14963,0.48459,1.26059,0.00106118,0.00106118,0.00106118
132,1180.3,0.61303,0.34608,0.87368,0.89961,0.86264,0.87001,0.52283,1.15117,0.48744,1.23688,0.00105835,0.00105835,0.00105835
133,1188.55,0.61742,0.33897,0.87554,0.9669,0.80882,0.84559,0.51937,1.16841,0.48024,1.25951,0.00105552,0.00105552,0.00105552
134,1197.65,0.64597,0.35168,0.88148,0.84534,0.84747,0.8189,0.50948,1.14057,0.49394,1.27024,0.00105269,0.00105269,0.00105269
135,1205.72,0.65003,0.35951,0.88648,0.917,0.86647,0.86196,0.53886,1.12221,0.47256,1.2492,0.00104986,0.00104986,0.00104986
136,1215.49,0.63866,0.35181,0.88028,0.94192,0.8509,0.86443,0.50399,1.17223,0.48015,1.25327,0.00104703,0.00104703,0.00104703
137,1223.81,0.63126,0.35184,0.88767,0.9264,0.85669,0.8664,0.5158,1.15969,0.47882,1.25413,0.0010442,0.0010442,0.0010442
138,1234.26,0.6236,0.34985,0.89322,0.96201,0.81623,0.84946,0.50702,1.13552,0.47211,1.24514,0.00104137,0.00104137,0.00104137
139,1242.74,0.64471,0.35142,0.88061,0.92813,0.84274,0.85334,0.5444,1.15659,0.49275,1.26625,0.00103854,0.00103854,0.00103854
140,1252.59,0.62636,0.34523,0.87178,0.93795,0.86458,0.87698,0.5285,1.13934,0.48242,1.23138,0.00103571,0.00103571,0.00103571
141,1260.9,0.6398,0.34692,0.87627,0.84323,0.81506,0.80976,0.51101,1.14493,0.48843,1.22142,0.00103288,0.00103288,0.00103288
142,1269.93,0.6079,0.33515,0.87688,0.89673,0.81276,0.80878,0.50846,1.12817,0.49903,1.2275,0.00103005,0.00103005,0.00103005
143,1278.39,0.61339,0.3368,0.88128,0.9376,0.83657,0.8444,0.52163,1.14329,0.49577,1.25772,0.00102722,0.00102722,0.00102722
144,1287.37,0.58808,0.32843,0.86609,0.90792,0.84274,0.82422,0.52276,1.13624,0.49247,1.26946,0.00102439,0.00102439,0.00102439
145,1295.94,0.5836,0.32734,0.86261,0.86357,0.80968,0.80672,0.51334,1.13108,0.49225,1.27971,0.00102156,0.00102156,0.00102156
146,1304.87,0.61873,0.33964,0.88117,0.88687,0.84182,0.846,0.54868,1.10638,0.47951,1.25561,0.00101873,0.00101873,0.00101873
147,1313.7,0.60861,0.33783,0.86671,0.84955,0.82099,0.81231,0.52682,1.154,0.48575,1.28353,0.0010159,0.0010159,0.0010159
148,1322.74,0.61017,0.33766,0.87323,0.87375,0.7827,0.79267,0.50469,1.16504,0.47563,1.27193,0.00101308,0.00101308,0.00101308
149,1331.39,0.5908,0.33249,0.87339,0.92329,0.81779,0.84547,0.5208,1.1526,0.48564,1.26041,0.00101025,0.00101025,0.00101025
150,1340.34,0.59576,0.32696,0.86469,0.92762,0.80066,0.82137,0.51859,1.14883,0.50014,1.25043,0.00100742,0.00100742,0.00100742
151,1348.92,0.59069,0.33651,0.86931,0.91583,0.80104,0.81776,0.5228,1.11643,0.49661,1.23722,0.00100459,0.00100459,0.00100459
152,1357.75,0.59333,0.33389,0.87352,0.88613,0.81893,0.81704,0.52723,1.10695,0.47804,1.23487,0.00100176,0.00100176,0.00100176
153,1366.32,0.58413,0.32907,0.87152,0.89852,0.8448,0.8398,0.49695,1.16382,0.48761,1.26418,0.000998928,0.000998928,0.000998928
154,1375.12,0.58918,0.33694,0.87257,0.90373,0.80663,0.82316,0.5307,1.14509,0.48618,1.23343,0.000996099,0.000996099,0.000996099
155,1383.59,0.60477,0.33789,0.87438,0.88652,0.81267,0.82003,0.52115,1.14762,0.47539,1.26449,0.000993269,0.000993269,0.000993269
156,1392.47,0.59359,0.33373,0.87192,0.87929,0.81119,0.81755,0.50326,1.172,0.48585,1.28032,0.00099044,0.00099044,0.00099044
157,1401.07,0.57649,0.32301,0.8653,0.93171,0.77071,0.82075,0.51488,1.1723,0.48494,1.28022,0.00098761,0.00098761,0.00098761
158,1409.82,0.57983,0.32723,0.86412,0.85898,0.80872,0.8058,0.49315,1.15658,0.49312,1.25599,0.000984781,0.000984781,0.000984781
159,1418.36,0.57733,0.32787,0.86383,0.87503,0.8114,0.80571,0.51159,1.16189,0.48966,1.25148,0.000981952,0.000981952,0.000981952
160,1426.82,0.58483,0.32481,0.86673,0.86802,0.84201,0.82903,0.52788,1.15086,0.51275,1.27468,0.000979122,0.000979122,0.000979122
161,1435.52,0.57837,0.32619,0.87056,0.90046,0.81803,0.80933,0.51669,1.14397,0.50816,1.27633,0.000976293,0.000976293,0.000976293
162,1443.83,0.57025,0.32585,0.86369,0.90373,0.81687,0.82265,0.52081,1.13566,0.49785,1.28135,0.000973463,0.000973463,0.000973463
163,1452.8,0.55701,0.32232,0.86206,0.95213,0.78814,0.82791,0.53454,1.1308,0.48358,1.29266,0.000970634,0.000970634,0.000970634
164,1461.33,0.58383,0.33283,0.87111,0.96057,0.78618,0.82786,0.51523,1.1692,0.48197,1.30558,0.000967805,0.000967805,0.000967805
165,1470.21,0.58647,0.32943,0.86614,0.86392,0.81481,0.82005,0.52055,1.1638,0.48113,1.27444,0.000964975,0.000964975,0.000964975
166,1478.7,0.56792,0.32244,0.86515,0.89681,0.81481,0.80853,0.48309,1.17888,0.47267,1.2921,0.000962146,0.000962146,0.000962146
167,1487.68,0.5676,0.32128,0.86777,0.90823,0.81106,0.81147,0.50144,1.1735,0.47899,1.31515,0.000959316,0.000959316,0.000959316
168,1496.11,0.56878,0.31911,0.86277,0.9024,0.81676,0.81983,0.51337,1.16646,0.482,1.31471,0.000956487,0.000956487,0.000956487
